Language,Program,PowerLimit,Size,Cost,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python Interpreted ,BubbleSort ,5, 1000,, 2.926025 , 1.166382 , 0.187439 , 0.000000 , 446 , 50.3 , 10092 
Python Interpreted ,QuickSort ,5, 1000,, 1.001404 , 0.469788 , 0.055481 , 0.000000 , 129 , 50.3 , 10364 
Python Interpreted ,SelectionSort ,5, 1000,, 2.642273 , 1.225769 , 0.141479 , 0.000000 , 356 , 50.8 , 10364 
Python Interpreted ,BubbleSort ,10, 1000,, 2.452576 , 1.291077 , 0.083618 , 0.000000 , 308 , 50.7 , 10288 
Python Interpreted ,QuickSort ,10, 1000,, 1.013916 , 0.535522 , 0.048645 , 0.000000 , 110 , 50.7 , 10308 
Python Interpreted ,SelectionSort ,10, 1000,, 1.807739 , 1.062866 , 0.060730 , 0.000000 , 187 , 52.3 , 10312 
Python Interpreted ,BubbleSort ,20, 1000,, 2.416016 , 1.258057 , 0.092041 , 0.000000 , 304 , 50.5 , 10028 
Python Interpreted ,QuickSort ,20, 1000,, 0.934692 , 0.467773 , 0.062134 , 0.000000 , 103 , 50.5 , 10300 
Python Interpreted ,SelectionSort ,20, 1000,, 2.347168 , 1.368530 , 0.084778 , 0.000000 , 243 , 50.5 , 10348 
Python Interpreted ,BubbleSort ,50, 1000,, 2.160095 , 1.119019 , 0.080139 , 0.000000 , 279 , 50.7 , 10096 
Python Interpreted ,QuickSort ,50, 1000,, 1.035645 , 0.507080 , 0.062866 , 0.000000 , 120 , 50.7 , 10328 
Python Interpreted ,SelectionSort ,50, 1000,, 2.125305 , 1.209595 , 0.104553 , 0.000000 , 216 , 50.7 , 10052 
Python Interpreted ,BubbleSort ,100, 1000,, 2.174805 , 1.168945 , 0.085693 , 0.000000 , 262 , 51.2 , 10076 
Python Interpreted ,QuickSort ,100, 1000,, 0.843201 , 0.425720 , 0.039673 , 0.000000 , 103 , 51.0 , 10264 
Python Interpreted ,SelectionSort ,100, 1000,, 2.083984 , 1.013306 , 0.091064 , 0.000000 , 277 , 50.7 , 10088 
Python Interpreted ,BubbleSort ,500, 1000,, 2.317627 , 1.222717 , 0.098206 , 0.000000 , 284 , 51.0 , 10068 
Python Interpreted ,QuickSort ,500, 1000,, 0.898743 , 0.443176 , 0.055176 , 0.000000 , 104 , 51.0 , 10332 
Python Interpreted ,SelectionSort ,500, 1000,, 2.262573 , 1.036194 , 0.088562 , 0.000000 , 329 , 50.7 , 10264 
