Program, Package , Core(s) , GPU , DRAM? , Time (sec) 
C_BubbleSort , 0.022095 , 0.009277 , 0.001709 , 0.000000 ,  5065 
C_BubbleSort , 0.013367 , 0.005127 , 0.000000 , 0.000000 ,  4649 
C_BubbleSort , 0.012817 , 0.004761 , 0.000000 , 0.000000 ,  4498 
C_BubbleSort , 0.015747 , 0.005798 , 0.000000 , 0.000000 ,  4554 
C_BubbleSort , 0.015991 , 0.006165 , 0.000000 , 0.000000 ,  4722 
C_BubbleSort , 0.012573 , 0.005493 , 0.000000 , 0.000000 ,  4490 
C_BubbleSort , 0.012329 , 0.004883 , 0.000000 , 0.000000 ,  4579 
C_BubbleSort , 0.012756 , 0.005432 , 0.000000 , 0.000000 ,  4474 
C_BubbleSort , 0.012939 , 0.005615 , 0.000000 , 0.000000 ,  4555 
C_BubbleSort , 0.013062 , 0.005615 , 0.000000 , 0.000000 ,  4612 
C_QuickSort , 0.013000 , 0.005188 , 0.000000 , 0.000000 ,  4300 
C_QuickSort , 0.013489 , 0.005188 , 0.000000 , 0.000000 ,  4262 
C_QuickSort , 0.012512 , 0.005005 , 0.000000 , 0.000000 ,  4382 
C_QuickSort , 0.012634 , 0.005005 , 0.000000 , 0.000000 ,  4316 
C_QuickSort , 0.013428 , 0.005310 , 0.000000 , 0.000000 ,  4390 
C_QuickSort , 0.010132 , 0.005127 , 0.000000 , 0.000000 ,  4288 
C_QuickSort , 0.012573 , 0.004700 , 0.000000 , 0.000000 ,  4341 
C_QuickSort , 0.012817 , 0.004395 , 0.000000 , 0.000000 ,  4364 
C_QuickSort , 0.012817 , 0.005188 , 0.000000 , 0.000000 ,  4358 
C_QuickSort , 0.013000 , 0.004883 , 0.000000 , 0.000000 ,  4269 
C_SelectionSort , 0.015686 , 0.005737 , 0.000000 , 0.000000 ,  4624 
C_SelectionSort , 0.012573 , 0.005554 , 0.000000 , 0.000000 ,  4634 
C_SelectionSort , 0.013123 , 0.005249 , 0.000000 , 0.000000 ,  4658 
C_SelectionSort , 0.013489 , 0.005615 , 0.000000 , 0.000000 ,  4566 
C_SelectionSort , 0.012329 , 0.004822 , 0.000000 , 0.000000 ,  4461 
C_SelectionSort , 0.013306 , 0.005310 , 0.000000 , 0.000000 ,  4648 
C_SelectionSort , 0.017029 , 0.006592 , 0.000977 , 0.000000 ,  4594 
C_SelectionSort , 0.013428 , 0.005432 , 0.000000 , 0.000000 ,  4572 
C_SelectionSort , 0.013733 , 0.005493 , 0.000000 , 0.000000 ,  4539 
C_SelectionSort , 0.012634 , 0.005371 , 0.000000 , 0.000000 ,  4602 
